,PseudoTime
s560,0
s2421,0
s2594,0
s2613,0
s2630,6.36E-06
s2290,2.48E-05
s2206,2.50E-05
s2202,2.52E-05
s1107,2.78E-05
s664,2.84E-05
s51,3.18E-05
s362,0.000339036
s499,0.000339672
s2263,0.000342427
s2466,0.000343063
s157,0.001504081
s377,0.003202823
s2260,0.003335567
s947,0.003371196
s2507,0.003932412
s194,0.004798056
s847,0.004800599
s2380,0.004808228
s2531,0.004808652
s2653,0.005003129
s318,0.005526621
s644,0.005849742
s1158,0.006574318
s2334,0.006577708
s2392,0.00657792
s2436,0.006578344
s2616,0.006579192
s2657,0.006579404
s2671,0.006579616
s2181,0.006945501
s2224,0.006945713
s2362,0.006946348
s2478,0.006947196
s2608,0.00694762
s2325,0.008368559
s525,0.008600449
s537,0.009101584
s342,0.011822676
s2308,0.011823947
s2415,0.011824159
s2295,0.012588054
s2283,0.012588266
s538,0.012590598
s931,0.01446193
s725,0.014610069
s834,0.01472252
s2609,0.015021471
s687,0.015272684
s2276,0.015276498
s2332,0.01527671
s2556,0.015277134
s305,0.015318285
s751,0.015847453
s2201,0.015848513
s2515,0.015849573
s2580,0.015849785
s2600,0.015850209
s11954,0.015850421
s1060,0.016053727
s447,0.016585444
s651,0.020430268
s562,0.021870137
s2291,0.0272369
s79,0.029618081
s2318,0.030717286
s2603,0.033292919
s2264,0.034991887
s817,0.0356744
s827,0.037429574
s682,0.03856238
s2495,0.038563228
s2258,0.03990277
s2226,0.041777465
s2669,0.042545616
s2572,0.04254604
s2569,0.042546252
s2440,0.042546676
s2278,0.042547312
s2231,0.042547524
s2208,0.042547736
s2182,0.042547948
s1085,0.042554305
s385,0.042555789
s382,0.042556001
s2381,0.045456703
s1058,0.045983019
s2534,0.046685657
s2179,0.047191469
s169,0.048959367
s2192,0.050189034
s2458,0.051103899
s533,0.052226159
s81,0.053207869
s698,0.054933857
s996,0.056643351
s226,0.05670231
s2273,0.057391255
s2230,0.060999573
s2451,0.062768498
s1001,0.063151718
s1028,0.06315193
s2294,0.06315299
s2296,0.063153202
s1089,0.063223312
s476,0.064154595
s722,0.064579095
s2566,0.06518207
s2326,0.065353769
s1003,0.065490914
s738,0.066792493
s220,0.069277283
s2621,0.070626564
s1145,0.072516744
s2545,0.073847429
s2180,0.074272186
s719,0.077066459
s2305,0.080857729
s759,0.083778487
s1084,0.089108566
s1033,0.089399493
s2219,0.089875555
s573,0.097506629
s453,0.098469515
s11925,0.099040165
s2444,0.102111695
s2289,0.111982373
s614,0.111985548
s2570,0.113051905
s2271,0.114404095
s2510,0.11558648
s957,0.116661736
s750,0.116676766
s2195,0.118462364
s467,0.11858635
s2487,0.129878799
s2345,0.129879222
s2254,0.129879434
s91,0.131003456
s122,0.131615978
s2243,0.135920736
s2423,0.142917532
s2172,0.146636578
s310,0.149865541
s13959,0.150226415
s2175,0.155799997
s450,0.163088111
s2530,0.169603948
