Gene,index
SPI1,0
FLI1,1
ELF4,2
DLX1,3
ARX,4
ELF1,5
DLX2,6
KLF6,7
PAX6,8
TFE3,9
DLX6,10
FOXN2,11
ESR1,12
ETV6,13
POU2F1,14
NR3C1,15
TFEB,16
DNAJC21,17
MAFB,18
POU3F2,19
POU3F4,20
MEF2A,21
KLF3,22
NFKB2,23
STAT2,24
MITF,25
MAF,26
NEUROD2,27
KLF2,28
HEY2,29
NEUROD1,30
DLX5,31
NR1H2,32
NR1H4,33
ETS1,34
NFIB,35
ELK3,36
ZFX,37
E2F5,38
RUNX1,39
POU6F1,40
MEF2C,41
RARG,42
ETV3,43
CEBPB,44
ELF2,45
GLIS2,46
ESRRA,47
IRF1,48
SOX2,49
HMBOX1,50
KLF8,51
HSF2,52
ZFP148,53
OLIG2,54
GLIS3,55
SCRT1,56
SMARCC1,57
NR2F1,58
SMARCC2,59
ZFP384,60
ETV4,61
PAX3,62
BCL11B,63
SCRT2,64
KLF12,65
MYT1L,66
TCF4,67
CUX1,68
RBPJ,69
SNTG1,70
PPP1R42,71
CPA6,72
PREX2,73
A830018L16RIK,74
LACTB2,75
KCNB2,76
SBSPON,77
RPL7,78
JPH1,79
CRISPLD1,80
MCM3,81
PAQR8,82
RIMS1,83
B3GAT2,84
COL9A1,85
BEND6,86
CCDC115,87
ARHGEF4,88
NEURL3,89
CNNM4,90
SEMA4C,91
ZAP70,92
TMEM131,93
MGAT4A,94
CRACDL,95
LIPT1,96
PDCL3,97
NPAS2,98
CNOT11,99
RFX8,100
IL1RL2,101
IL18R1,102
IL18RAP,103
SLC9A2,104
AI597479,105
ECRG4,106
GM8251,107
GULP1,108
COL3A1,109
SLC39A10,110
TMEFF2,111
CAVIN2,112
NABP1,113
STAT4,114
ORMDL1,115
STK17B,116
HECW2,117
MOB4,118
BOLL,119
PLCL1,120
SGO2A,121
PPIL3,122
NDUFB3,123
FLACC1,124
TRAK2,125
STRADB,126
MPP4,127
FZD7,128
GM973,129
ICA1L,130
NBEAL1,131
CTLA4,132
ICOS,133
NDUFS1,134
EEF1B2,135
FZD5,136
CPS1,137
ERBB4,138
VWC2L,139
BARD1,140
FN1,141
MREG,142
MARCHF4,143
ANKAR,144
RPL37A,145
IGFBP2,146
CXCR2,147
PLCD4,148
ZFP142,149
WNT6,150
ZFAND2B,151
STK16,152
ASIC4,153
INHA,154
STK11IP,155
SLC4A3,156
EPHA4,157
ACSL3,158
SCG2,159
AP1S3,160
WDFY1,161
MRPL44,162
DOCK10,163
IRS1,164
MFF,165
SPHKAP,166
C130026I21RIK,167
G530012D18RIK,168
SP100,169
2810459M11RIK,170
EFHD1,171
NGEF,172
NEU2,173
INPP5D,174
SAG,175
MROH2A,176
GLRP1,177
IQCA,178
ACKR3,179
COPS8,180
COL6A3,181
MLPH,182
ASB1,183
COPS9,184
GPC1,185
GPR35,186
SNED1,187
PASK,188
ATG4B,189
ST8SIA4,190
SLCO4C1,191
PIGN,192
TNFRSF11A,193
PHLPP1,194
BCL2,195
SERPINB3B,196
SERPINB8,197
CDH7,198
TSN,199
GLI2,200
TMEM185B,201
SCTR,202
TMEM37,203
STEAP3,204
CCDC93,205
ACTR3,206
ACMSD,207
MAP3K19,208
YOD1,209
FCMR,210
DYRK3,211
IKBKE,212
SRGAP2,213
CTSE,214
RAB7B,215
MFSD4A,216
LEMD1,217
TMCC2,218
CNTN2,219
NFASC,220
PIK3C2B,221
LAX1,222
ATP2B4,223
PRELP,224
BTG2,225
KLHL12,226
RABIF,227
SYT2,228
GPR37L1,229
RNPEP,230
LMOD1,231
PHLDA3,232
MROH3,233
CAMSAP2,234
KIF14,235
PTPRC,236
NEK7,237
LHX9,238
CRB1,239
CFHR4,240
CFH,241
GLRX2,242
RGS1,243
RGS18,244
PLA2G4A,245
PRG4,246
HMCN1,247
IVNS1ABP,248
NIBAN1,249
EDEM3,250
ARPC5,251
NCF2,252
SHCBP1L,253
NPL,254
RGS16,255
MR1,256
LHX4,257
TDRD5,258
CRYZL2,259
SEC16B,260
ASTN1,261
4930523C07RIK,262
MRPS14,263
CACYBP,264
SERPINC1,265
PRDX6,266
SUCO,267
4930558K02RIK,268
MYOCOS,269
FMO1,270
METTL11B,271
SELL,272
DCAF6,273
MPZL1,274
CD247,275
DUSP27,276
ILDR2,277
FAM78B,278
RGS5,279
CCDC190,280
HSD17B7,281
DDR2,282
SH2D1B1,283
FCRLA,284
FCGR4,285
FCGR3,286
SDHC,287
PCP4L1,288
ADAMTS4,289
PPOX,290
USP21,291
UFC1,292
NECTIN4,293
F11R,294
CD244A,295
LY9,296
SLAMF7,297
SLAMF1,298
SLAMF6,299
CRP,300
CADM3,301
IFI206,302
IFI213,303
IFI209,304
MNDAL,305
IFI211,306
IFI203,307
SPTA1,308
WDR64,309
EXO1,310
PLD5,311
ADSS,312
CNST,313
SCCPDH,314
CDC42BPA,315
EPHX1,316
WDR26,317
CNIH3,318
DNAH14,319
SRP9,320
DEGS1,321
SUSD4,322
TLR5,323
HLX,324
LYPLAL1,325
SPATA17,326
KCTD3,327
KCNK2,328
CENPF,329
TATDN3,330
BATF3,331
LPGAT1,332
NEK2,333
SLC30A1,334
TRAF5,335
KCNH1,336
LAMB3,337
HSD11B1,338
RPP38,339
GM45902,340
FRMD4A,341
MCM10,342
CCDC3,343
SEC61A2,344
PROSER2,345
CELF2,346
GATA3,347
ITIH5,348
IL2RA,349
PTER,350
ST8SIA6,351
MRC1,352
SLC39A12,353
PLXDC2,354
SPAG6,355
OTUD1,356
ENKUR,357
GPR158,358
GAD2,359
HNMT,360
PSD4,361
ARRDC1,362
DPH7,363
PNPLA7,364
NRARP,365
RNF208,366
NDOR1-1,367
SAPCD2,368
ENTPD2,369
PAXX,370
EDF1,371
AJM1,372
TMEM141,373
KCNT1,374
UBAC1,375
CCDC187,376
GM20532,377
DIPK1B,378
REXO4,379
FAM163B,380
SARDH,381
COL5A1,382
PPP1R26,383
DDX31,384
NTNG2,385
DYNC2I2,386
TBC1D13,387
SPOUT1,388
PHYHD1,389
SH3GLB2,390
PTPA,391
IER5L,392
TOR1A,393
BC005624,394
FNBP1,395
HMCN2,396
LAMC3,397
AIF1L,398
FAM78A,399
CIZ1,400
1110008P14RIK,401
SLC25A25,402
DPM2,403
ENG,404
SH2D3C,405
6330409D20RIK,406
TTC16,407
GAPVD1,408
RABEPK,409
PHF19,410
TRAF1,411
STOM,412
TTLL11,413
PTGS1,414
ZBTB6,415
LHX2,416
NEK6,417
OLFML2A,418
KYNU,419
ARHGAP15,420
RBM43,421
NMI,422
TNFAIP6,423
GALNT13,424
GALNT5,425
ERMN,426
CYTIP,427
UPP2,428
GM11099,429
WDSUB1,430
CD302,431
PLA2R1,432
RBMS1,433
SLC4A10,434
DPP4,435
FAP,436
GRB14,437
SLC38A11,438
SCN2A,439
SCN7A,440
CERS6,441
NOSTRIN,442
DHRS9,443
CCDC173,444
PHOSPHO2,445
TLK1,446
CYBRD1,447
ITGA6,448
PDK1,449
MAP3K20,450
OLA1,451
SP9,452
TTN,453
CCDC141,454
ITGA4,455
CERKL,456
FRZB,457
FAM171B,458
CALCRL,459
SELENOH,460
MED19,461
YPEL4,462
SLC43A1,463
SLC43A3,464
LRRC55,465
OLFR1062,466
C1QTNF4,467
PTPMT1,468
PACSIN3,469
MDK,470
CREB3L1,471
CRY2,472
SLC35C1,473
CD82,474
ALX4,475
LRRC4C,476
PRR5L,477
SLC1A2,478
CD44,479
CAT,480
ABTB2,481
CD59B,482
DEPDC7,483
MPPED2,484
KCNA4,485
BDNF,486
LGR4,487
LPCAT4,488
EMC4,489
KATNBL1,490
ZFP770,491
PAK6,492
INAFM2,493
IVD,494
CHST14,495
SPINT1,496
OIP5,497
NUSAP1,498
LTK,499
CAPN3,500
LRRC57,501
CCNDBP1,502
EPB42,503
TGM5,504
SERINC4,505
SERF2,506
FRMD5,507
GOLM2,508
PATL2,509
TERB2,510
SORD,511
SHF,512
GATM,513
SHC4,514
FGF7,515
USP8,516
1810024B03RIK,517
KCNIP3,518
ZFP661,519
MAL,520
BUB1,521
MERTK,522
FBLN7,523
VINAC1,524
IL1A,525
IL1B,526
F830045P16RIK,527
SIRPA,528
TMC2,529
DDRGK1,530
HSPA12B,531
1700037H04RIK,532
CDC25B,533
PRNP,534
SLC23A2,535
GPCPD1,536
CRLS1,537
BMP2,538
LAMP5,539
SLX4IP,540
SPTLC3,541
ISM1,542
NDUFAF5,543
SEL1L2,544
SNRPB2,545
SNX5,546
OVOL2,547
SEC23B,548
SMIM26,549
CFAP61,550
INSM1,551
NKX2-2,552
THBD,553
CD93,554
CST7,555
ABHD12,556
GINS1,557
NANP,558
PSMF1,559
RBCK1,560
NRSN2,561
ZCCHC3,562
ID1,563
TPX2,564
TTLL9,565
CCM2L,566
NOL4L,567
DNMT3C,568
BPIFB1,569
NECAB3,570
ZFP341,571
AHCY,572
MAP1LC3A,573
TRP53INP2,574
GGT7,575
MYH7B,576
EDEM2,577
MMP24,578
BC029722,579
ROMO1,580
MYL9,581
RAB5IF,582
NDRG3,583
DSN1,584
SAMHD1,585
PPP1R16B,586
GM826,587
SGK2,588
JPH2,589
ADA,590
RIMS4,591
STK4,592
SLPI,593
MATN4,594
SYS1,595
DBNDD2,596
UBE2C,597
SNX21,598
ACOT8,599
PLTP,600
ZFP335,601
MMP9,602
CD40,603
SLC13A3,604
EYA2,605
KCNB1,606
PTGIS,607
B4GALT5,608
UBE2V1,609
NFATC2,610
BCAS1,611
CYP24A1,612
FAM210B,613
AURKA,614
GCNT7,615
BMP7,616
RBM38,617
PMEPA1,618
CTSZ,619
ZFP831,620
EDN3,621
GM14412,622
ZFP971,623
ZFP931,624
TAF4,625
SS18L1,626
NTSR1,627
GID8,628
HELZ2,629
ZGPAT,630
TPD52L2,631
TCEA2,632
PCMTD2,633
IL7,634
HEY1,635
ZFP704,636
PAG1,637
RALYL,638
CAR13,639
CAR1,640
CAR2,641
GM9733,642
SIRPB1A,643
SIRPB1B,644
SIRPB1C,645
GM5150,646
BHLHE22,647
CP,648
AGTR1B,649
TNFSF10,650
RPL22L1,651
EGFEM1,652
MECOM,653
CLDN11,654
GNB4,655
ACTL6A,656
PEX5L,657
DCUN1D1,658
EXOSC9,659
TRPC3,660
CETN4,661
NUDT6,662
SPRY1,663
INTU,664
JADE1,665
PCDH18,666
SLC7A11,667
MGST2,668
FREM2,669
SPG20,670
ANKUB1,671
SIAH2,672
CLRN1,673
P2RY14,674
P2RY13,675
P2RY12,676
B430305J03RIK,677
PLCH1,678
VMN2R3,679
VEPH1,680
LXN,681
IFT80,682
SMC4,683
TRIM59,684
WDR49,685
FSTL5,686
PPID,687
GASK1B,688
RBM46,689
DCHS2,690
TMEM131L,691
MND1,692
FHDC1,693
TMEM154,694
GLT28D2,695
LRBA,696
KIRREL,697
FCRLS,698
PEAR1,699
SH2D2A,700
HAPLN2,701
LMNA,702
SYT11,703
RUSC1,704
PKLR,705
FAM189B,706
KRTCAP2,707
PYGO2,708
CHRNB2,709
SHE,710
RAB13,711
SLC39A1,712
NPR1,713
S100A13,714
S100A4,715
S100A11,716
S100A10,717
THEM4,718
OAZ3,719
RIIAD1,720
TUFT1,721
PSMB4,722
SELENBP1,723
SCNM1,724
GM128,725
CERS2,726
CTSK,727
CTSS,728
GOLPH3L,729
MCL1,730
ECM1,731
ANP32E,732
PLEKHO1,733
OTUD7B,734
SF3B4,735
BC107364,736
GM16253,737
POLR3GL,738
ITGA10,739
ACP6,740
PDE4DIP,741
NOTCH2,742
HMGCS2,743
TBX15,744
TENT5C,745
TTF2,746
CD101,747
CD2,748
IGSF3,749
MAB21L3,750
CASQ2,751
VANGL1,752
TSPAN2,753
DENND2C,754
SYT6,755
OLFML3,756
HIPK1,757
BCL2L15,758
PTPN22,759
MOV10,760
CTTNBP2NL,761
I830077J02RIK,762
CHIL3,763
DENND2D,764
KCNC4,765
AHCYL1,766
GSTM7,767
GSTM1,768
AMPD2,769
PSRC1,770
ELAPOR1,771
TMEM167B,772
GPSM2,773
AKNAD1,774
FAM102B,775
SLC25A24,776
VAV3,777
PRMT6,778
OLFM3,779
S1PR1,780
SASS6,781
GM43191,782
AGL,783
PLPPR4,784
DPYD,785
RWDD3,786
ARHGAP29,787
ABCA4,788
GCLM,789
PDE5A,790
USP53,791
SEC24D,792
NDST3,793
NDST4,794
ARSJ,795
LARP7,796
ZGRF1,797
CFI,798
COL25A1,799
ETNPPL,800
LEF1,801
CENPE,802
SLC9B2,803
SLC9B1,804
SLC39A8,805
BANK1,806
EMCN,807
DDIT4L,808
LAMTOR3,809
ADH6A,810
GBP5,811
GBP7,812
GBP3,813
GBP2,814
KYAT3,815
PKN2,816
HS2ST1,817
CLCA3A1,818
COL24A1,819
CCN1,820
SYDE2,821
MCOLN2,822
LPAR3,823
SAMD13,824
TTLL7,825
ADGRL4,826
GIPC2,827
DNAJB4,828
ST6GALNAC3,829
FPGT,830
PTGER3,831
CTH,832
RPS20,833
PENK,834
ASPH,835
GDF6,836
2610301B20RIK,837
TRP53INP1,838
RAD54B,839
FSBP,840
TRIQK,841
SLC26A7,842
LRRC69,843
NECAB1,844
DECR1,845
OSGIN2,846
MMP16,847
CNBD1,848
ATP6V0D2,849
FBXL4,850
MAP3K7,851
CASP8AP2,852
GABRR2,853
GABRR1,854
CNR1,855
C9ORF72,856
DDX58,857
DCAF12,858
UBAP1,859
NUDT2,860
MYORG,861
1110017D15RIK,862
ENHO,863
CNTFR,864
IL11RA1,865
CCL27A,866
FAM205C,867
PHF24,868
FAM214B,869
TESK1,870
CCDC107,871
ARHGEF39,872
TPM2,873
TLN1,874
RGP1,875
HINT2,876
SPAAR,877
MELK,878
PAX5,879
GRHPR,880
POLR1E,881
FBXO10,882
FRMPD1,883
TRMT10B,884
EXOSC3,885
SLC25A51,886
ALDH1B1,887
TMOD1,888
TSTD2,889
TRMO,890
HEMGN,891
ANP32B,892
COL15A1,893
TGFBR1,894
SEC61B,895
NR4A3,896
CAVIN4,897
MRPL50,898
GRIN3A,899
PPP3R2,900
CYLC2,901
SLC44A1,902
CTNNAL1,903
EPB41L4B,904
PTPN3,905
PAKAP,906
PAKAP-2,907
SHOC1,908
E130308A19RIK,909
INIP,910
WDR31,911
POLE3,912
ZFP618,913
COL27A1,914
WHRN,915
TNFSF8,916
TNC,917
TRIM32,918
FRMD3,919
PTPRD,920
BNC2,921
SAXO1,922
ACER2,923
SLC24A2,924
KLHL9,925
ELAVL2,926
TEK,927
JUN,928
CYP2J12,929
PATJ,930
KANK4,931
LEPR,932
PDE4B,933
DNAI4,934
MIER1,935
OMA1,936
DAB1,937
FYB2,938
PLPP3,939
USP24,940
DHCR24,941
PARS2,942
MROH7,943
ACOT11,944
CYB5RL,945
LRRC42,946
ECHDC2,947
GPX7,948
CDKN2C,949
SPATA6,950
SKINT3,951
SKINT11,952
TRABD2B,953
STIL,954
TAL1,955
MKNK1,956
NSUN4,957
RAD54L,958
PIK3R3,959
CCDC17,960
NASP,961
MMACHC,962
TOE1,963
UROD,964
PTCH2,965
BTBD19,966
PLK3,967
TMEM53,968
RNF220,969
SLC6A9,970
B4GALT2,971
ST3GAL3,972
PTPRF,973
ELOVL1,974
CDC20,975
ERMAP,976
SVBP,977
TMEM269,978
P3H1,979
PPCS,980
FOXO6,981
CTPS,982
RIMS3,983
ZFP69,984
SMAP2,985
COL9A2,986
TRIT1,987
HEYL,988
PABPC4,989
MYCBP,990
POU3F1,991
FHL3,992
YRDC,993
MANEAL,994
ZC3H12A,995
GRIK3,996
OSCP1,997
COL8A2,998
AGO3,999
CLSPN,1000
TRIM62,1001
C77080,1002
BSDC1,1003
LCK,1004
DCDC2B,1005
KPNA6,1006
PEF1,1007
ZCCHC17,1008
NKAIN1,1009
SDC3,1010
EPB41,1011
TAF12,1012
RCC1,1013
ATPIF1,1014
SMPDL3B,1015
THEMIS2,1016
PPP1R8,1017
FGR,1018
AHDC1,1019
NUDC,1020
GPN2,1021
DHDDS,1022
CD52,1023
UBXN11,1024
PAFAH2,1025
MTFR1L,1026
RHD,1027
RSRP1,1028
SYF2,1029
IFNLR1,1030
PNRC2,1031
CNR2,1032
GALE,1033
RPL11,1034
E2F2,1035
C1QB,1036
C1QC,1037
C1QA,1038
WNT4,1039
HSPG2,1040
ALPL,1041
KIF17,1042
DDOST,1043
CDA,1044
IFFO2,1045
GM21969,1046
PADI4,1047
NECAP2,1048
FBXO42,1049
ARHGEF19,1050
EPHA2,1051
FBLIM1,1052
SLC25A34,1053
RSC1A1,1054
AGMAT,1055
TMEM51,1056
KAZN,1057
PRAMEL13,1058
DHRS3,1059
TNFRSF1B,1060
ZFP992,1061
MFN2,1062
MAD2L2,1063
PGD,1064
SLC2A5,1065
SLC45A1,1066
TNFRSF9,1067
PER3,1068
VAMP3,1069
PHF13,1070
NOL9,1071
RPL22,1072
AJAP1,1073
DFFB,1074
SMIM1,1075
WRAP73,1076
MEGF6,1077
PRDM16,1078
MMEL1,1079
PRXL2B,1080
HES5,1081
RER1,1082
GABRD,1083
NADK,1084
SLC35E2,1085
VWA1,1086
MXRA8,1087
CPTP,1088
SAMD11,1089
LRRD1,1090
ZFP804B,1091
STEAP4,1092
ABCB1A,1093
ABCB1B,1094
ABCB4,1095
CROT,1096
ELAPOR2,1097
PCLO,1098
SEMA3C,1099
CD36,1100
MAGI2,1101
TMEM60,1102
CCDC146,1103
FGL2,1104
ARMC10,1105
NAPEPLD,1106
DNAJC2,1107
RELN,1108
LHFPL3,1109
FAM126A,1110
NOS3,1111
CDK5,1112
TMUB1,1113
PRKAG2,1114
GALNTL5,1115
XRCC2,1116
SPEER4A,1117
INSIG1,1118
CNPY1,1119
RNF32,1120
GAREM2,1121
KCNK3,1122
CENPA,1123
DPYSL5,1124
CGREF1,1125
SLC30A3,1126
SNX17,1127
ZFP513,1128
GPN1,1129
FOSL2,1130
PPP1CB,1131
YWHAH,1132
SLBP,1133
TMEM129,1134
FGFR3,1135
POLN,1136
ZFYVE28,1137
RGS12,1138
LRPAP1,1139
ACOX3,1140
HTRA3,1141
SH3TC1,1142
GRPEL1,1143
BLOC1S4,1144
JAKMIP1,1145
GM1043,1146
ZBTB49,1147
CLNK,1148
C1QTNF7,1149
FBXL5,1150
BST1,1151
PROM1,1152
QDPR,1153
LAP3,1154
NCAPG,1155
LCORL,1156
KCNIP4,1157
LGI2,1158
PI4K2B,1159
ZCCHC4,1160
PCDH7,1161
0610040J01RIK,1162
PGM2,1163
TBC1D1,1164
TLR1,1165
TMEM156,1166
LIAS,1167
TMEM33,1168
SHISA3,1169
KCTD8,1170
GABRG1,1171
COX7B2,1172
GABRA4,1173
GABRB1,1174
TXK,1175
GM10135,1176
OCIAD1,1177
OCIAD2,1178
SGCB,1179
RASL11B,1180
LNX1,1181
PDGFRA,1182
KDR,1183
SRD5A3,1184
IGFBP7,1185
EPHA5,1186
STAP1,1187
TMPRSS11D,1188
SLC4A4,1189
GC,1190
ADAMTS3,1191
RASSF6,1192
BTC,1193
PARM1,1194
NAAA,1195
ART3,1196
SEPTIN11,1197
FRAS1,1198
ANXA3,1199
ANTXR2,1200
PRDM8,1201
FGF5,1202
CFAP299,1203
PRKG2,1204
PLAC8,1205
HPSE,1206
GPAT3,1207
ARHGAP24,1208
HSD17B13,1209
SPARCL1,1210
SPP1,1211
ZFP951,1212
GBP8,1213
GBP9,1214
TGFBR3,1215
EPHX4,1216
BTBD8,1217
RPAP2,1218
EVI5,1219
DR1,1220
PIGG,1221
ATP5K,1222
MFSD7A,1223
IDUA,1224
4930522L14RIK,1225
GM15446,1226
GM35315,1227
ZFP605,1228
POLE,1229
GALNT9,1230
HSCB,1231
CRYBB1,1232
HPS4,1233
MYO18B,1234
2900026A02RIK,1235
WSCD2,1236
CMKLR1,1237
FICD,1238
TMEM119,1239
SELPLG,1240
USP30,1241
KCTD10,1242
MMAB,1243
TRPV4,1244
2210016L21RIK,1245
HNF1A,1246
POP5,1247
RNF10,1248
GATC,1249
CIT,1250
PRKAB1,1251
VSIG10,1252
RFC5,1253
TBX3,1254
RBM19,1255
SLC8B1,1256
IQCD,1257
RASAL1,1258
OAS2,1259
OAS3,1260
OAS1C,1261
OAS1A,1262
RPH3A,1263
RPL6,1264
HECTD4,1265
TMEM116,1266
ACAD12,1267
PHETA1,1268
HVCN1,1269
RAD9B,1270
GPN3,1271
P2RX7,1272
TMEM120B,1273
KNTC1,1274
CCDC62,1275
ABCB9,1276
ARL6IP4,1277
KMT5A,1278
SNRNP35,1279
DDX55,1280
EIF2B1,1281
GTF2H3,1282
TCTN2,1283
