sample,Gene_count,UMI_count,EdU,Type,time,Main_cluster_name,UMAP_1,UMAP_2,Mouse_id,assay,Trajectory,Pseudotime,Trajectory_UMAP1,Trajectory_UMAP2
560,1660,4456,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.16088582,-1.723187178,EdU_31,RNA,Oligodendrogenesis trajectory,0,1.946593331,-3.263585466
2421,1381,3459,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.649733554,0.386551068,EdU_33,RNA,Oligodendrogenesis trajectory,0,4.088901089,-0.614621418
2594,2912,11896,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.48690034,-2.593942135,EdU_33,RNA,Oligodendrogenesis trajectory,0,-0.141105367,-2.421887057
2613,959,2090,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.80423833,-1.460795968,EdU_33,RNA,Oligodendrogenesis trajectory,0,2.001413391,-1.457880157
2630,1077,2188,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.31735707,-1.626759737,EdU_33,RNA,Oligodendrogenesis trajectory,6.36E-06,0.262680577,-4.9366342
2290,1718,4314,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.722983371,1.046200723,EdU_33,RNA,Oligodendrogenesis trajectory,2.48E-05,5.31511073,-3.614797967
2206,1079,2107,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-9.027503024,-0.154775768,EdU_33,RNA,Oligodendrogenesis trajectory,2.50E-05,5.545732544,-3.530776637
2202,1566,3701,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-8.247852336,-0.100096106,EdU_33,RNA,Oligodendrogenesis trajectory,2.52E-05,5.336496399,-3.498798268
1107,1888,5041,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.197196971,0.288090092,EdU_31,RNA,Oligodendrogenesis trajectory,2.78E-05,4.978463219,-3.516787427
664,2851,10653,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.061749469,0.160344512,EdU_31,RNA,Oligodendrogenesis trajectory,2.84E-05,5.724944638,-3.402253049
51,3196,13167,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.191214572,-0.383295804,EdU_31,RNA,Oligodendrogenesis trajectory,3.18E-05,5.745972203,-3.390019076
362,1255,3084,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.01874257,0.567346067,EdU_29,RNA,Oligodendrogenesis trajectory,0.000339036,1.617065476,-1.119176524
