TF,Target
3465,10276
5979,11315
3660,12667
289,5363
12792,17689
12212,16714
3300,6547
15891,8869
11534,3225
16620,4961
762,9332
3839,13318
13804,16434
3997,16655
1256,6547
13804,13644
16795,16714
12366,17475
14232,9111
2663,13216
10827,12415
15182,15725
11559,15296
9089,8910
7342,9517
15289,12500
9283,10528
14232,15749
778,688
16227,10138
750,15725
9753,8910
8282,745
14432,14548
16620,11713
15879,13328
14944,8365
11317,422
10617,9089
5821,8878
688,1211
3686,9401
7698,10451
17131,15149
4938,16714
10352,3475
3260,15230
10617,6547
9632,11816
13319,15149
13826,7341
14432,10126
10563,13723
10182,14473
3391,12597
14340,14723
11534,9365
10902,13617
8195,14604
7698,12212
9798,13617
2573,6626
4926,13658
16912,8926
10182,10958
16912,344
1896,4403
11094,9332
13369,14145
17142,17689
8632,9983
773,12261
9629,1739
15997,17425
5120,8514
13742,2586
7199,1211
11317,10889
9642,12931
8984,17534
186,16146
17175,9517
6757,8205
5647,4398
5209,8878
6312,11739
17534,12415
2274,17659
11317,11233
6176,10138
8472,2378
4917,9332
11739,1336
3475,4131
11970,8128
904,14204
5605,1283
13581,1351
660,7637
612,13634
3047,6588
2648,4403
56,1211
11305,13361
14651,1447
15152,542
2868,17193
10539,15188
17534,7457
14651,661
10528,15149
3483,4940
6660,12782
4926,10860
15160,9953
9283,10983
12325,4403
773,7656
14340,9094
12782,8910
14080,4131
8632,10844
8377,6802
15964,9983
9634,17175
1453,7637
5548,7637
12588,7637
8505,7637
10555,7637
15426,4874
14655,12478
14032,16955
9112,6935
15227,3007
7666,7637
13204,12729
10369,14655
7427,3784
10539,6651
5826,13886
5929,14807
16009,13200
1456,10218
2868,4403
4101,1283
5605,8910
9921,15725
5209,9182
10617,10150
12765,3440
11431,10314
16009,13644
14944,2586
15374,11013
7698,8689
9100,826
3481,8375
13804,15749
7691,9983
15152,17193
12604,2663
11519,4131
15227,8878
11993,7637
9192,14625
3350,12594
3909,15725
5821,16787
15285,17161
13362,15655
305,12669
11725,12478
14430,12667
16418,1202
2674,15270
8157,4398
8990,9517
16418,811
16418,7459
3481,13318
773,11333
13604,4926
12623,14204
8632,3574
2674,8431
7100,12729
773,428
7142,16565
743,11557
5209,16787
8947,623
773,9561
773,17130
10539,13302
8361,14807
13581,11348
773,7734
7690,2663
6803,6626
5140,14145
15149,15725
422,1076
3998,15725
6187,17089
10827,7457
3007,14344
2378,16565
9192,13319
15160,4630
10182,12813
16966,12667
2274,11123
12089,11315
5156,6626
5114,14473
2274,6301
7690,11726
9416,1202
186,17043
16912,2400
3007,16188
12366,13432
11739,16655
9416,7459
9416,811
5114,1401
7127,623
1670,12667
16198,7244
9633,16227
14300,15149
4024,2378
11534,9387
399,11557
11737,16565
12760,8365
15227,16787
6837,7341
10361,6626
186,8641
6660,4188
8648,17193
16869,16502
4835,9517
16357,12669
5821,2693
6179,6802
1896,542
15227,9182
5209,2693
14340,14612
715,8375
11993,13319
8869,6187
9100,7637
14723,15149
2320,12669
9484,12669
10617,10138
3703,8910
3350,9645
12148,8910
2462,16434
10218,17689
1266,6301
2648,542
6176,12813
4751,11713
15227,2693
10617,16787
9192,1351
1896,17193
16009,16434
7666,2573
11530,15149
715,13318
9095,7427
12325,542
9100,12945
3087,14309
3940,6187
13804,9111
7698,15994
7698,10150
13260,11557
7959,13769
2400,12597
599,16275
7201,16714
5209,12190
5114,10958
2648,17193
11185,10865
9749,2543
7486,10126
6624,6832
12325,17193
6660,1013
15991,12945
13227,12945
1453,12945
15891,924
337,4874
553,10999
6651,4131
3344,3784
8431,6162
14604,10109
698,17689
9629,11333
12667,10127
3512,12478
9283,8431
9831,5891
15200,13769
2615,17425
2674,7526
10314,1076
3712,16502
305,13661
11431,1447
9794,7637
8939,16714
11305,1351
7698,9089
10182,14723
11305,17194
15227,12190
5307,5740
228,11013
6179,17452
612,8377
6311,17472
553,11841
646,12669
5548,12945
10909,8514
10261,9107
11640,3457
1410,6626
7690,10399
4979,10127
16871,12667
8472,7955
6312,3936
13761,8365
17534,4482
9075,12945
661,1211
6157,1519
13195,13432
9112,2870
12604,11726
12632,8514
10957,15725
15311,12669
12765,11774
14973,16955
10451,13823
11305,12499
13227,7637
10182,9094
741,17304
5114,12813
11519,4874
16281,12715
8185,7341
7759,14755
16492,6796
13515,7341
2663,4631
3212,6763
16357,13661
6176,14723
3936,14702
474,17227
9749,14204
8195,14800
6179,1336
17169,13769
1030,1076
13305,6588
11929,6626
10261,14427
2573,11315
8363,16565
15871,7341
3997,4869
7517,6133
6052,6670
2320,13661
9484,13661
5896,14204
9283,3123
9869,15230
11431,13723
16227,8689
2881,14204
5120,17534
13514,16565
532,7637
5105,15655
8984,12729
8346,15725
16009,15749
4926,10068
9192,11348
16912,17142
14652,10109
6660,10526
13340,2378
11431,5280
8784,12729
6613,15725
14070,3936
868,6133
5209,10844
8908,17304
4938,4131
474,15655
16001,6626
16795,4131
773,1670
8431,960
186,15152
9861,14309
7698,4055
15227,10844
2663,5289
5114,10138
5821,10844
17016,17425
12945,6763
6138,1266
13761,2586
553,1266
7690,623
8632,13361
14032,13216
17304,11003
11612,13582
9744,9077
9744,13582
11612,9077
14909,11713
4024,7955
