Tf,Target
8922,6412
6644,5408
6406,1078
4468,4366
6644,6319
2255,5258
5903,1144
9408,5590
6029,5408
6374,5688
9783,2072
9783,6998
440,836
1463,5060
6190,5060
7593,3362
5013,5593
6718,6868
4825,6185
9299,2265
6644,2431
146,6494
6029,6319
5822,2455
2255,5545
8922,7558
2500,7558
663,7558
6029,2431
12549,7385
6592,4786
7593,2282
5822,10218
7228,9042
6374,5519
5638,5633
162,3864
5757,4663
4825,5773
425,5635
909,9887
6034,3327
4941,4886
3785,5726
5822,4985
5119,6555
7316,5454
12549,5695
1334,6628
6718,4951
6504,6097
5119,6307
6718,4487
4825,1234
5822,5629
629,3385
1924,4932
3864,8175
3864,9042
10218,4481
2440,6101
11416,5759
4711,2072
4711,6998
8467,5522
2440,7739
5947,6277
5874,211
4468,6521
3753,6097
2440,8265
6242,6426
4468,6686
2440,6006
1334,2006
5013,5866
6403,7963
7759,6570
7759,4663
8922,7036
8922,8507
6185,6183
2761,5590
4364,5480
5218,6444
5013,331
5013,5755
8467,6720
7482,5083
5847,8697
7355,2303
7316,5170
7316,545
5704,3191
6245,6069
4335,5804
5258,5147
5258,6103
6403,5969
6403,6213
6403,4762
6403,332
6403,663
6307,5147
6307,5966
6307,6476
6307,2087
6307,6103
4941,4968
629,5542
5058,2229
1334,5454
2091,5635
4468,6421
3254,6240
6592,5574
146,7252
11812,4786
7947,6730
8752,6097
2500,7890
8922,7890
663,7890
8028,3191
6257,6069
7947,6676
5773,2760
5013,11379
7029,6183
6084,2761
5542,5633
6718,7496
4468,5724
2091,449
4468,4489
440,7385
6998,5923
2072,5923
5603,5590
146,6523
6718,4797
11416,5095
1879,5995
6718,2091
330,7228
11416,6509
4468,5601
1483,315
5475,5826
6185,2661
11416,5756
6718,5753
440,5695
6269,4508
6034,2701
5928,1872
2307,5674
6718,5838
5874,6275
6718,102
5013,6639
909,5591
6374,3010
4416,5679
1334,5170
1334,545
6374,5456
7490,6231
6034,7020
6403,5955
4825,7482
1002,8637
6231,4776
5769,5590
6644,8730
5660,3254
8467,6465
2316,5193
7029,7766
5593,6737
2500,6257
8922,6257
663,6257
5013,7071
6644,6728
6718,7746
7029,2661
1313,6741
5120,5633
5120,5393
5120,8099
2440,6583
5013,4909
5013,10203
5013,3712
629,7997
6718,6979
11812,5574
9787,5218
4942,2124
6029,6728
6029,8730
6307,2338
6406,5083
5655,5083
6523,5804
7029,6696
2239,7069
1938,5822
2188,4663
5908,2124
5704,6444
4825,4239
4825,6269
2316,6082
5826,6277
5687,2334
6555,2334
7228,5758
146,8591
663,4430
8922,4430
2500,4430
7316,5085
5013,6203
11416,6577
1313,6231
6718,2143
2440,1904
8028,6444
5120,900
2500,12916
8922,12916
663,12916
5081,6953
6309,4786
7947,7008
5475,4916
6297,5753
4825,5844
7355,6695
7355,6890
7355,6585
5822,8130
3888,6240
3864,5758
6374,4830
9299,6467
9299,5903
9299,1726
330,836
1879,8066
1879,5464
1879,4452
1879,1362
629,8337
6307,7593
4825,2679
9787,8804
6994,4663
6251,2229
3999,5781
5807,4775
2316,6789
5081,5636
7316,7197
5874,3191
7505,3849
5120,5653
9408,743
1498,3849
1483,5751
211,5060
7992,146
6504,6216
7029,2179
8467,6638
7997,5633
1924,1392
6380,1002
27,2124
6720,5781
5903,4839
6403,5912
6374,4947
10965,2124
128,6084
2440,5193
5638,6275
7536,6097
1334,5085
5408,2124
128,2286
5807,5692
3753,6216
9299,5971
4468,4416
4468,1352
5258,5666
449,6467
6307,5666
1334,7197
5258,6309
5258,5941
5258,6592
2255,6019
629,7248
5847,5633
2235,3849
2067,128
5013,6416
4825,5116
8761,2152
146,6073
1583,6084
4825,536
4825,5979
4825,6214
4825,3743
4468,2423
7947,5503
6034,5515
2440,6082
5995,3849
2255,6438
4416,4486
9299,4616
8752,6216
1483,10185
6231,6191
3999,6261
3999,1661
1879,2316
9299,9343
6034,2115
4825,2010
6034,7490
6307,11464
6307,4475
6307,5763
6307,5162
6307,6592
6307,1336
6307,12748
6307,5941
6307,6309
7947,10339
6644,6469
5081,6321
1879,8589
5013,6455
6718,5522
9787,2775
6592,6410
6029,6469
6506,2124
4941,6231
1726,4343
4481,4420
6720,6261
6720,1661
5120,211
5847,900
7593,2482
5058,5590
5013,2204
1879,4383
1643,5498
2251,2124
5773,6336
5872,6737
9783,5218
332,9974
3999,5587
8922,9974
2500,9974
663,9974
2440,6789
7593,6888
3952,2500
5593,5591
7029,8697
4928,6737
8467,6496
5874,6444
4364,1002
4422,5080
6969,5080
1701,5080
6718,6720
5542,6275
1879,2188
663,6080
332,6080
8922,6080
2500,6080
1879,2442
1879,4375
6403,6494
5847,5653
449,4616
6720,5587
4825,1049
4335,4786
449,9343
2008,6084
6718,334
3864,7460
2008,2286
2395,10339
7759,2229
1879,1498
8467,6132
8467,2185
146,5510
5704,1078
5475,5058
6034,2455
601,5635
7780,5060
629,6182
2440,1203
6034,4985
6084,6066
6069,6084
453,2395
5603,743
8525,2500
9299,5067
4825,5791
4711,5218
5475,5422
11812,6410
1879,6281
5013,2223
1483,5742
7947,1334
9783,8804
1334,6943
8028,1078
330,7385
601,449
6374,6185
2067,5729
5120,6275
6488,4954
146,1353
6644,6362
8748,2482
2316,5969
2316,6213
9787,467
9787,3606
9787,5019
9787,4796
9787,6176
9787,6422
9787,6233
9787,5540
9787,4001
9787,7767
6718,4364
6380,6005
6034,10218
5928,6012
330,5695
3191,6277
5013,389
8922,7843
5660,6757
6135,6757
6374,5773
4825,6532
4446,2395
5013,6829
5769,743
6718,6465
4928,9887
6029,6362
2500,8165
8922,8165
6403,7252
5013,4756
4335,5574
449,5067
3999,5812
5807,8730
9408,4505
6034,5629
7490,6488
4825,10172
6488,5679
7593,2288
1924,7116
5542,3191
5013,1447
4711,8804
6720,5812
5807,6728
6403,6523
5218,5083
1313,6488
5630,3849
5979,3849
3743,3849
7482,3999
7482,4270
4825,6135
4941,6741
3785,4663
2067,5023
6380,4366
5660,7387
4825,5947
4825,5660
2255,5670
7536,6216
5759,6019
4416,8147
1643,6240
2440,7963
5638,6444
146,5480
6523,4786
8922,315
2500,315
332,315
5013,6487
663,315
146,5115
743,6084
6251,5590
9783,2775
7997,6275
1483,5931
7857,5218
12549,2334
5468,6737
9299,6642
1879,6103
1879,5147
1879,2087
1879,6476
1879,5966
4825,5500
6660,4420
6660,8883
5120,3191
8467,5909
2440,332
2440,6213
2440,5969
2440,4762
6034,5148
4364,6005
6668,6097
5822,6178
5947,207
7482,6430
6185,5633
7947,601
6432,5590
5013,6267
5687,445
6555,445
6191,5590
5185,2395
6410,4452
6718,6638
5475,2065
5847,6275
3327,5674
5013,5219
2255,163
5013,6013
6380,6521
6403,8591
1483,6101
6994,2229
5872,5591
6380,6686
9787,5473
9787,8175
9787,9042
2161,5775
4711,2775
9408,6183
440,2334
6644,5577
4928,5591
7029,5633
7029,5393
7029,8099
5874,1078
7857,8804
5822,6011
4364,1380
1483,8265
6029,5577
5928,7559
5655,3999
5655,4270
4375,2482
2442,2482
6034,4353
2440,5955
5542,6444
1483,7739
6523,5574
9787,1924
1879,2338
5013,2393
6406,4270
6406,3999
4825,7461
9032,6084
1483,6006
5081,5850
11416,8467
5013,5932
4364,4366
6380,6421
5704,5083
9783,5540
9783,4001
9783,467
9783,6176
9783,4796
9783,6422
9783,3606
9783,6233
9783,7767
9783,5019
6374,6269
6488,6595
5757,5590
2307,5635
5468,9887
6644,6313
1334,5537
4825,729
9408,7766
6029,6313
5603,4505
211,6137
5013,2480
8028,5083
7029,900
9299,4776
6727,3849
6644,6237
6034,8130
2338,7069
6034,761
4481,4508
6380,4489
6380,5724
7316,6249
8004,6432
1938,9974
3864,8078
6488,4486
6374,5844
5058,743
5013,9794
6029,6237
6380,5601
1938,6080
5258,1872
4825,5928
9299,3615
5081,5918
6406,6430
1352,5751
4762,5751
8922,5751
332,5751
663,5751
2500,5751
5120,6444
6307,1872
2161,2760
5655,6430
7228,8637
9408,6696
5847,3191
7947,27
6403,6073
6374,2679
6718,6496
5900,6242
7029,5653
9299,5062
6592,6665
5769,4505
1879,7593
9408,2661
9299,3363
4941,6488
4711,4001
4711,5019
4711,467
4711,6233
4711,6422
4711,3606
4711,6176
4711,4796
7759,5590
7865,6513
7865,6405
6718,6132
5643,4891
3864,8637
4364,6521
4364,2226
4364,6686
5081,709
5081,4869
6718,2185
2480,6737
1334,6249
8467,5593
2500,10185
8922,10185
663,10185
6488,4986
5822,4357
4416,1721
2255,6628
5081,6486
1483,6583
2440,5912
4364,6421
6374,6214
5067,6240
3999,7020
2255,2006
4335,6410
1879,2856
1879,5666
5475,3362
449,4776
6720,7020
5475,2282
4364,5724
4364,4489
3999,2701
5081,6397
1483,1904
8467,5866
11812,6665
6374,2010
144,4420
144,8883
3444,2500
7997,6444
7505,2124
9299,482
7029,211
5081,5828
5660,7272
4364,5601
4947,6240
1498,2124
9783,5473
9783,9042
9783,8175
5660,7555
9787,5758
5468,5591
1879,12748
1879,5763
1879,11464
1879,5941
1879,1336
1879,5162
1879,5273
1879,4475
1879,6592
1879,6309
6720,2701
8731,6737
2255,5454
4825,6868
6668,6216
8467,5755
6660,1463
6660,6190
6660,5643
5081,6072
6403,5510
8004,6426
5874,5083
9408,2179
1334,4971
6034,5867
8066,6737
7857,4796
7857,5019
7857,4001
7857,6422
7857,6233
7857,3606
9783,1924
629,6953
5847,6444
10218,2212
6307,12549
629,5636
5603,6183
2500,2403
8922,2403
11416,4954
4364,5028
6562,2101
449,482
5013,4868
2316,7252
6644,8509
6644,5759
2313,4839
6380,4416
4825,4951
1938,315
6029,5759
5081,6419
1643,6069
6231,7248
4825,4487
6251,743
2235,2124
332,5742
8922,5742
2500,5742
663,5742
1352,5742
4762,5742
1483,5908
6185,6275
6403,1353
7316,4846
2188,5590
1483,5193
8922,7601
2255,545
2255,5170
4711,9042
4711,8175
4711,5473
146,1002
4526,5080
6718,5909
2440,6494
6718,2784
7947,6604
7947,9408
7947,5086
7947,7897
7947,167
7947,5136
7947,1801
7947,8932
7947,5888
6034,7755
6660,4508
11416,5679
5769,6183
3785,2229
2230,5080
6488,8147
1879,2440
6307,3310
5995,2124
4825,9783
5603,7766
2124,2395
5081,11812
6994,5590
7593,7008
6523,6410
8589,2124
5081,5877
5013,642
1483,6082
7029,6275
5603,2661
8709,4550
4477,4550
8731,9887
6644,5095
12549,445
6660,4447
629,8457
5603,6696
6644,6509
5058,4505
6555,6277
5687,6277
2212,5751
629,7101
6410,6103
5751,6236
6029,5095
6403,5480
6644,5756
6029,6509
6034,433
5120,1078
4825,7496
6029,5756
11416,4474
4825,4797
4825,2091
6403,5115
4468,1411
4468,6229
8467,4909
8467,10203
1726,1938
5769,2661
10218,5373
5822,461
10218,2389
6718,6927
1334,4846
5081,6437
5013,745
6374,10172
2500,5931
663,5931
1313,5647
8922,5931
9299,6191
4825,5753
629,100
7316,4419
9408,8697
1483,6789
4825,5838
2440,7252
9299,6542
2161,6336
449,6191
4825,102
5757,743
9787,7460
2255,4971
4364,1352
4364,4416
1002,7069
1313,6081
6374,6135
7738,6737
6660,4481
6660,1981
7857,8175
7857,9042
7593,5503
2338,6303
1938,5751
5638,5083
9299,2580
2440,6523
4825,7746
7316,6074
6034,5815
8004,9032
1669,5498
4364,2423
2500,710
8922,710
9783,5758
4825,4655
4825,6979
5603,2179
8922,4469
7316,3201
2255,5085
6644,6577
7029,3191
6034,11983
6034,3089
6034,4982
6034,6011
6034,1170
6034,4529
7593,10339
1313,1399
1483,1203
7490,1399
7759,743
