gene,R_score
14145,4.823427328216509e-06
7759,3.945075129300423e-06
5114,3.6932062030735845e-06
8130,3.5976540930905886e-06
8514,3.329353610882551e-06
2378,3.1567428818166573e-06
186,3.0573412490935717e-06
7955,2.9020165082700706e-06
773,2.8793347756994368e-06
970,2.742443966339233e-06
6626,2.710554856885155e-06
12667,2.662804681426796e-06
9484,2.629002917643624e-06
2274,2.584798236885559e-06
15891,2.580405098636692e-06
9632,2.3334419474786e-06
12729,2.328031005911146e-06
15311,2.206251260019295e-06
9626,2.1625466172834584e-06
9226,2.1416911999721043e-06
2828,2.1265244462315354e-06
6086,2.086133048587058e-06
11315,1.9684380131014405e-06
2320,1.9520767527502445e-06
16357,1.9349036445694975e-06
9517,1.9106877554720645e-06
17534,1.9068963290845854e-06
10633,1.8732137348203611e-06
3997,1.8705107992827722e-06
8928,1.8480112246340238e-06
5037,1.8125400010209303e-06
14340,1.784738637310727e-06
11317,1.7817131348809065e-06
6187,1.7307315716872974e-06
7517,1.7268191700021053e-06
13581,1.7063905986359069e-06
7698,1.6743133889751288e-06
715,1.6465663633256514e-06
612,1.6327716283688916e-06
10539,1.616637363906361e-06
14425,1.6146004493078169e-06
11739,1.5902540599733823e-06
1941,1.570002116700221e-06
9627,1.5664277867053935e-06
8050,1.5580431365535535e-06
15725,1.5342799101764692e-06
3024,1.5269064363111542e-06
2799,1.506511321271333e-06
6179,1.5010413924355578e-06
6566,1.4738098788885012e-06
4340,1.466316334513663e-06
305,1.4638070145879026e-06
8861,1.4604507943975435e-06
1076,1.4431156789627575e-06
7486,1.4423564050830997e-06
10751,1.4358330145319123e-06
2543,1.416390039922034e-06
16565,1.4091482744912088e-06
13584,1.4054386408423985e-06
14309,1.3972994276896634e-06
6795,1.3888257038727123e-06
1973,1.3829657724902869e-06
17772,1.3795147279149115e-06
14702,1.3612019220679659e-06
14966,1.2992259634707926e-06
16912,1.2983698740851009e-06
7127,1.2845670899006236e-06
6944,1.277691596836696e-06
646,1.2669329318472856e-06
13769,1.2322868394805468e-06
10261,1.2222333931679607e-06
289,1.2125629679329308e-06
17304,1.212114128881905e-06
5811,1.2082460574519453e-06
9202,1.2070568766298498e-06
15227,1.1991195432945474e-06
11612,1.1857689103037956e-06
7180,1.1696932399133448e-06
16755,1.1662985362072708e-06
1454,1.1609326657542542e-06
9401,1.1587000515073534e-06
8157,1.1520385185122636e-06
2628,1.139510461162264e-06
9192,1.1330590205553707e-06
9769,1.114015392654105e-06
12752,1.0948628218422686e-06
13397,1.0948628218422686e-06
553,1.0942793135018576e-06
4874,1.08056541874764e-06
5003,1.0774769834033648e-06
11328,1.0702011760795152e-06
16714,1.06954425916584e-06
16502,1.0596793724073334e-06
9332,1.052514213853684e-06
10569,1.0343934320516827e-06
12830,1.0271269732704288e-06
2586,1.0264362371316256e-06
6624,1.0207663439897377e-06
16898,1.0093926198921163e-06
5888,1.0075057901533313e-06
11796,1.0009986578959727e-06
3350,9.935291257047646e-07
12597,9.819698337117563e-07
4028,9.780362458310222e-07
14204,9.670101495128588e-07
8016,9.638686706890169e-07
15373,9.417525396059769e-07
10769,9.19358036997281e-07
7778,9.111081912646059e-07
3481,9.084443195838027e-07
8910,9.044576190598911e-07
4733,8.973315214017608e-07
13604,8.830308330203088e-07
15655,8.795946091318201e-07
9385,8.739107452843108e-07
10209,8.677324044502351e-07
6708,8.491983214260156e-07
13302,8.436191203739156e-07
10182,8.435333843634681e-07
17380,8.369189611490065e-07
1447,8.314887401267308e-07
924,8.184414176357196e-07
13402,7.985550302835602e-07
10352,7.970182949804308e-07
11619,7.965989564559744e-07
5745,7.746889583298231e-07
4131,7.739034998533593e-07
12765,7.663850096892307e-07
6312,7.465990062937815e-07
15014,7.35915369414564e-07
11777,7.352788127266793e-07
7100,7.348236107896867e-07
9283,7.328626014176834e-07
6802,6.93125487064398e-07
6754,6.76585657935547e-07
9635,6.693138611865453e-07
6494,6.689036390163349e-07
5209,6.548473517420179e-07
11431,6.547291867959971e-07
4230,6.535925863327297e-07
16955,6.498055703799752e-07
4631,6.342833637083456e-07
15149,6.335511941032316e-07
5598,6.325958154941992e-07
11534,6.279536047419193e-07
5751,6.227802035338581e-07
9798,6.088765971225324e-07
7293,5.985548132293596e-07
14612,5.924167146852271e-07
5048,5.892754116503639e-07
7092,5.843164867156005e-07
778,5.836251991081888e-07
17425,5.816355574234679e-07
4926,5.804015946518687e-07
599,5.733094664773284e-07
341,5.659850962546247e-07
5289,5.436147955159833e-07
15289,5.432903637085519e-07
12500,5.41403543519161e-07
10276,5.329597375963458e-07
854,5.313790037102443e-07
6264,5.292266432892824e-07
13195,5.28024230832411e-07
10451,5.26809458653445e-07
14432,5.221884028914821e-07
4982,5.213417283849953e-07
7341,5.126229404029541e-07
11557,5.122063741207396e-07
12851,5.116798450462432e-07
14655,5.100630429769876e-07
4403,5.07116142021777e-07
7690,4.99508539022462e-07
12567,4.976151446844682e-07
542,4.941885107580536e-07
15160,4.925918918995129e-07
7141,4.919171747124651e-07
3212,4.803083031490904e-07
10617,4.766619147338385e-07
9075,4.7202522814910054e-07
11795,4.612376583750698e-07
15643,4.6076925172700017e-07
15729,4.5930627870338225e-07
5039,4.575161206373727e-07
13886,4.5728801780002277e-07
11783,4.5523039561260396e-07
13625,4.551246441078626e-07
16275,4.5382371303701136e-07
7039,4.513206688947228e-07
7290,4.495056054757952e-07
9630,4.451120478322136e-07
9473,4.4474994503831984e-07
787,4.4087626730735186e-07
11559,4.4035954573538506e-07
12478,4.392380714937658e-07
8422,4.3674446145685216e-07
9943,4.32144832690708e-07
9944,4.3191035254509515e-07
410,4.316390792770604e-07
17689,4.3137405056454773e-07
4961,4.2994523667887217e-07
15230,4.294891386069024e-07
3498,4.2903970034714825e-07
12229,4.2583265880224455e-07
661,4.241590727279339e-07
5020,4.2362075310252647e-07
14809,4.232704808078212e-07
8031,4.2316914063681525e-07
1957,4.2254225927633144e-07
12900,4.2250314861434036e-07
17227,4.2207166457306985e-07
17143,4.2175263094269916e-07
3686,4.175862024789139e-07
3839,4.171857849841901e-07
17500,4.13589045256183e-07
660,4.1299673348363677e-07
9110,4.0734479128326863e-07
12588,4.0317019794926353e-07
16313,3.984381516007851e-07
6575,3.9278366468089247e-07
8804,3.925302772643504e-07
5964,3.9232220978646673e-07
1389,3.822876878809489e-07
14909,3.821243811427074e-07
12642,3.806878069645261e-07
10873,3.7791805106523436e-07
10830,3.772553925804907e-07
14545,3.772553925804907e-07
4738,3.772057223718972e-07
4940,3.7650304723024797e-07
7367,3.763942460458685e-07
760,3.748194976279067e-07
10827,3.6797724271847483e-07
13216,3.6745981142026084e-07
6311,3.624560397252515e-07
3300,3.6157967250969177e-07
6176,3.612402192438682e-07
11713,3.5634425437137614e-07
5675,3.530295576673544e-07
6832,3.527984569047075e-07
9184,3.512800159112474e-07
14342,3.4877817267722075e-07
9832,3.4165758463678653e-07
1057,3.4107088154843736e-07
3958,3.3938732602841347e-07
11640,3.370561509313236e-07
9940,3.351586277663264e-07
13531,3.3515862776413795e-07
4000,3.332209931712926e-07
3875,3.3192520787883164e-07
11784,3.2904690063704843e-07
10127,3.2880199457040656e-07
7717,3.28126777097116e-07
617,3.2802917680574637e-07
13733,3.274679554163549e-07
12681,3.273274868191806e-07
13823,3.267349500128033e-07
11151,3.2245136655747247e-07
811,3.210490309364178e-07
11185,3.208791312660057e-07
9416,3.2070123337042337e-07
1202,3.1546125443548075e-07
17193,3.133803158008318e-07
15749,3.126542282318736e-07
14769,3.103621409375368e-07
7426,3.093986313533747e-07
13200,3.082692436043429e-07
5123,3.0799093757757907e-07
13540,3.0746288502350613e-07
9803,3.0510970177224866e-07
6935,3.038009722899307e-07
2862,3.0377568217950544e-07
15302,3.033210142277485e-07
6796,3.0294283523089176e-07
7459,3.0008403713308053e-07
9363,2.9770927282597453e-07
774,2.972366764915767e-07
6778,2.955507329537389e-07
11993,2.95025653707414e-07
11602,2.9319736539887896e-07
2493,2.9118211950708697e-07
12325,2.8874119346586353e-07
8365,2.8858222595305435e-07
9744,2.8784510294432023e-07
5045,2.856667381623032e-07
9633,2.852708408055081e-07
10391,2.841763476374858e-07
8632,2.824829698271251e-07
2674,2.8114328317586854e-07
7201,2.791524724948905e-07
864,2.775366091890415e-07
2377,2.7747465605072114e-07
13644,2.7679112350114453e-07
5740,2.744963617727923e-07
4759,2.729085787703786e-07
2272,2.7237771436831097e-07
9634,2.7228118185158866e-07
3391,2.702439625026894e-07
15294,2.6930395457761046e-07
11999,2.691396732449108e-07
14755,2.674292898231139e-07
5266,2.666972887200179e-07
11604,2.656256151463795e-07
2077,2.6532176893340135e-07
280,2.650992396235311e-07
15317,2.650992396235311e-07
10282,2.636535681388926e-07
6884,2.63136314493863e-07
8856,2.627455037276705e-07
12350,2.627455037276705e-07
15997,2.621213153910171e-07
10126,2.5929979251792913e-07
17131,2.5897482876590205e-07
3852,2.5819762827421235e-07
15374,2.5637316732858135e-07
3903,2.55597440004904e-07
7130,2.5454500315441473e-07
772,2.5386475826605106e-07
3998,2.5113947713609937e-07
5895,2.5059535674160876e-07
16281,2.489296026573551e-07
12760,2.4846362898950767e-07
12792,2.4804435510157186e-07
7129,2.4787884129502237e-07
12604,2.464455287170244e-07
15581,2.461030108948388e-07
5647,2.430839547005066e-07
474,2.427226741784977e-07
12338,2.41440225061239e-07
13401,2.408066174775923e-07
11162,2.3964888110581874e-07
8128,2.3829537107534567e-07
13617,2.324699849233683e-07
2813,2.3074777010136542e-07
4398,2.3001237561919762e-07
12232,2.2818826820791188e-07
9645,2.2766058015246358e-07
5196,2.2537040957755538e-07
2557,2.2498147268870344e-07
622,2.243472360173759e-07
15343,2.239097079175587e-07
9111,2.2385428843002232e-07
10218,2.2153292284802507e-07
11850,2.21000960209314e-07
13626,2.2061275682534078e-07
10118,2.1984082954870366e-07
6117,2.1984082954870366e-07
3007,2.1966078290890773e-07
11166,2.1951376033865433e-07
2254,2.1916346667601552e-07
8454,2.1912075313243495e-07
6389,2.1891481418030283e-07
15238,2.1785671721300488e-07
8636,2.1721997974156648e-07
10865,2.1571069547045403e-07
14310,2.1568618858829417e-07
11333,2.1532881813279286e-07
17198,2.1520797568588058e-07
8446,2.124993656327172e-07
5019,2.1222477419346046e-07
6792,2.1218959682124764e-07
9756,2.1163401232592924e-07
5498,2.0817292035668054e-07
529,2.0782206014426114e-07
9291,2.0643705880421753e-07
8926,2.0576765601144685e-07
3482,2.0497317857739936e-07
399,2.0445606341958913e-07
11992,2.0338479941659304e-07
5821,2.033262594306017e-07
7053,2.024759503453949e-07
11706,2.0163023405474783e-07
623,1.9981609796186454e-07
7285,1.9963126082049934e-07
5826,1.9860630086931905e-07
259,1.984656034519044e-07
12945,1.9767319840805892e-07
14529,1.9760562232107491e-07
2506,1.9759632515774848e-07
1266,1.9690323952198415e-07
3786,1.9683903433947712e-07
3047,1.9450033271479235e-07
8431,1.9160836520086175e-07
11458,1.9158380034896367e-07
6660,1.907849448522335e-07
12549,1.896219620373452e-07
14344,1.882647236731958e-07
2824,1.867935013278626e-07
5737,1.8672933493692088e-07
11192,1.860498142966963e-07
428,1.8550001591694727e-07
6722,1.8437574404094598e-07
13723,1.8433084338273612e-07
228,1.835695282524903e-07
16249,1.8327922462489348e-07
8506,1.8230128563231143e-07
12782,1.8208488232050957e-07
11530,1.8205028045011588e-07
7348,1.8102242010652774e-07
3833,1.79682951081925e-07
2876,1.7805016268041094e-07
15964,1.7712072539465565e-07
1283,1.751824881693122e-07
7403,1.7433945369049447e-07
11714,1.741708088853337e-07
334,1.7372299545100683e-07
15429,1.736487706771166e-07
14890,1.735209778169036e-07
6233,1.721567825894256e-07
9623,1.7210734136587044e-07
7703,1.7138907498212737e-07
36,1.7134327530674712e-07
6855,1.7129427938128564e-07
9112,1.7042525497644803e-07
10109,1.7037472463895906e-07
11726,1.699034291231951e-07
3656,1.6973866284203887e-07
12445,1.6970139330796926e-07
11497,1.685284073874918e-07
