,TF,Target,Label
0,1072,1491,1
1,1072,16453,1
2,1072,6914,1
3,1072,10026,1
4,1072,3273,1
5,1072,12968,1
6,1072,9537,1
7,1072,7989,1
8,1072,12315,1
9,1072,16519,1
10,1072,7561,1
11,1072,16975,1
12,1072,6285,1
13,1072,9919,1
14,1072,16931,1
15,1072,2669,1
16,1072,9229,1
17,1072,17068,1
18,1072,6776,1
19,1072,7128,1
20,1072,15132,1
21,1072,2903,1
22,1072,8294,1
23,1072,11819,1
24,1072,13705,1
25,1072,2906,1
26,1072,9448,1
27,1072,4333,1
28,1072,15717,1
29,1072,7215,1
30,1072,14331,1
31,1072,7916,1
32,1072,15155,1
33,1072,15957,1
34,1072,14337,1
35,1072,4200,1
36,1072,6832,1
37,1072,9812,1
38,1072,14180,1
39,1072,12173,1
40,1072,9753,1
41,1072,4578,1
42,1072,507,1
43,1072,10279,1
44,1072,2018,1
45,1072,13155,1
46,1072,16139,1
47,1072,16108,1
48,1072,17244,1
49,1072,9437,1
50,1072,6845,1
51,1072,2861,1
52,1072,8878,1
53,1072,11699,1
54,1072,1775,1
55,1072,6115,1
56,1072,593,1
57,1072,4319,1
58,1072,10125,1
59,1072,16022,1
60,1072,892,1
61,1072,16232,1
62,1072,76,1
63,1072,14982,1
64,1072,7695,1
65,1072,13800,1
66,1072,3927,1
67,1072,9791,1
68,1072,5719,1
69,1072,4418,1
70,1072,8370,1
71,1072,13382,1
72,1072,11435,1
73,1072,12659,1
74,1072,13205,1
75,1072,4660,1
76,1072,7935,1
77,1072,14295,1
78,1072,12403,1
79,1072,9604,1
80,1072,5171,1
81,1072,7269,1
82,1072,14619,1
83,1072,1856,1
84,1072,7009,1
85,1072,10517,1
86,1072,12623,1
87,1072,8800,1
88,1072,9576,1
89,1072,14722,1
90,1072,4666,1
91,1072,6692,1
92,1072,1890,1
93,1072,695,1
94,1072,5847,1
95,1072,13497,1
96,1072,15916,1
97,1072,8932,1
98,1072,4857,1
99,1072,13223,1
100,1072,471,1
101,1072,17141,1
102,1072,194,1
103,1072,16244,1
104,1072,9684,1
105,1072,9193,1
106,1072,4104,1
107,1072,12647,1
108,1072,4688,1
109,1072,1523,1
110,1072,7676,1
111,1072,2776,1
112,1072,12986,1
113,1072,16399,1
114,1072,13999,1
115,1072,10105,1
116,1072,5879,1
117,1072,13081,1
118,1072,1318,1
119,1072,14928,1
120,1072,15962,1
121,1072,16493,1
122,1072,5125,1
123,1072,727,1
124,1072,16943,1
125,1072,8740,1
126,1072,14824,1
127,1072,13143,1
128,1072,14972,1
129,1072,10902,1
130,1072,11324,1
131,1072,9424,1
132,1072,3502,1
133,1072,14829,1
134,1072,8914,1
135,1072,12037,1
136,1072,17473,1
137,1072,8228,1
138,1072,2613,1
139,1072,9025,1
140,1072,17654,1
141,1072,10356,1
142,1072,5637,1
143,1072,17734,1
144,1072,8965,1
145,1072,1572,1
146,1072,13142,1
147,1072,16955,1
148,1072,3096,1
149,1072,6988,1
150,1072,9169,1
151,1072,307,1
152,1072,13986,1
153,1072,7417,1
154,1072,12154,1
155,1072,1494,1
156,1072,7642,1
157,1072,12910,1
158,1072,9351,1
159,1072,6596,1
160,1072,14429,1
161,1072,554,1
162,1072,16362,1
163,1072,15950,1
164,1072,6983,1
165,1072,9601,1
166,1072,534,1
167,1072,2220,1
168,1072,13398,1
169,1072,13200,1
170,1072,7177,1
171,1072,16692,1
172,1072,13988,1
173,1072,12300,1
174,1072,16767,1
175,1072,10020,1
176,1072,2652,1
177,1072,16351,1
178,1072,13106,1
179,1072,3631,1
180,1072,7070,1
181,1072,1192,1
182,1072,13114,1
183,1072,11816,1
184,1072,9478,1
185,1072,11835,1
186,1072,8784,1
187,1072,2364,1
188,1072,789,1
